Features,MaxDepth,MinSplitThreshold,Trees,SplitCriteria,Target,TrainAccuracy,TestAccuracy
13,5,2,1,gini,GP_greater_than_0,74.25431711145997,59.68586387434554
13,5,2,2,gini,GP_greater_than_0,71.7425431711146,58.1151832460733
13,5,2,3,gini,GP_greater_than_0,77.2370486656201,61.78010471204188
13,5,2,4,gini,GP_greater_than_0,75.98116169544741,60.73298429319372
13,5,2,5,gini,GP_greater_than_0,76.138147566719,57.06806282722513
13,5,2,6,gini,GP_greater_than_0,76.60910518053376,57.06806282722513
13,5,2,7,gini,GP_greater_than_0,76.76609105180535,54.973821989528794
13,5,2,8,gini,GP_greater_than_0,77.39403453689168,54.973821989528794
13,5,2,9,gini,GP_greater_than_0,78.02197802197803,53.92670157068062
13,5,2,10,gini,GP_greater_than_0,78.1789638932496,57.06806282722513
